Page,DESCRIPTION,REPL. COST,,,MAX ADDL.
10,Magazine,,,EA,$0.00
10,Magazines,,,15.00 EA,$204.19
10,Paperback book,,,50.00 EA,$471.20
10,Paperback book,,,60.00 EA,$565.44
10,Paperback book,,,1.00 EA,$0.00
10,Paperback book,,,90.00 EA,$282.72
10,BOOKS,,,1.00 EA,$0.00
10,Encyclopedia - set,,,100 EA,$680.63
10,Textbook - Premium grade,,,1200 EA,
10,Textbook - Standard grade,,,10.00 EA,$523.56
10,"TOTAL BOOKS, MAGAZINES & PERIODICALS",,,,"$9,203.86"
10,CAS CASH & SECURITIES,,,,
10,Various Gift Certificates,,,1.00 EA,"$3,000.00"
10,Cash,,,1.00 EA,"$3,000.00"
10,Cash,,,1.00 EA,"$5,700.00"
10,Coins,,,1.00 EA,$150.00
10,Bank,,,1.00 EA,$0.00
10,"Credit cards Amex, Master Card, Visa",,,1.00 EA,$0.00
10,TOTAL CASH & SECURITIES,,,,"$11,850.00"
10,Note: Slight vanances may be found within report sections due,to rounding,,,
10,5154K577),,,,
11,wey,,,,
11,,,Trade Summary,,
11,,Includes all applicable,"Tax, General Contractor O&P,",and Labor Minimums,
11,DESCRIPTION,,LINEITEM,REPL. COST,ACV
11,,,QTY,TOTAL,
11,"CCE CAMERAS, CAMCORDERS & EQUIP.",,,,
11,2 - Acoustic Foam panels,,2.00 EA,$263.83,$184.68
11,CAMERA,,1.00 EA,$0.00,$0.00
11,Camera - Digital / Point and shoot,,1.00 EA,$209.42,$121.46
11,Camera - Digital / Point and shoot-Samsung,,1.00 EA,$209.42,$73.30
11,Digital Camera,,1.00 EA,$78.53,$54.97
11,"TOTAL CAMERAS, CAMCORDERS & EQUIP.",,,$761.20,$434.41
11,CLH CLOTHING & ACCESSORIES,,,,
11,Belt - Ladies’,,25.00 EA,$654.45,$163.61
11,Belt - Ladies’,,"3,00 EA",$78.53,$58.90
11,Belt - Men's,,"3,00 EA",$78.53,$58.90
11,Belt - Men's,,1.00 EA,$26.18,$22.90
11,Belt - Men's,,1.00 EA,$0.00,$0.00
11,Belt - Men's (1 Calvin Klein Belt),,4.00 EA,$556.94,$417.70
11,mens belt,,4.00 EA,$139.23,$121.83
11,men sweatpants,,9.00 EA,$104.71,$78.53
11,mens dress pants,,6.00 EA,$376.96,$235.60
11,mens polo,,2.00 EA,$305.76,$191.10
11,mens sweatshirt,,5.00 EA,$209.42,$157.06
11,mens tee shirt,,25.00 EA,$523.56,$261.78
11,Note: Slight variances may be found within report sections due,to rounding,,,
11,5154K577),,,,
12,,Trade Summary,,,
12,Includes all applicable,"Tax, General Contractor O&P,",and Labor Minimums,,
12,DESCRIPTION,LINEITEM,"- REPL, COST",ACV,"NON-REC,"
12,,QTY,TOTAL,,DEPREC.
12,CLH CLOTHING & ACCESSORIES,,,,
12,shirt dress collar,18.00 EA,$565.44,$438.22,$0.00
12,Dress - Ladies’,25.00 EA,$654.45,$327.22,$0.00
12,Dress - Ladies’,15.00 EA,$895.29,$335.23,$0.00
12,Dress - Prom / Formal - Ladies' - Premium grade,9.00 EA,$654.45,$245.41,$0.00
12,Dress - Prom / Formal - Ladies’ - Premium grade,3.00 EA,"$1,099.48",$219.90,$0.00
12,Dress - Wedding Dress - Ladies - preserved and sealed,,«80.00,$0.00,$0.00
12,Dress - Wedding Dress - Ladies - preserved and sealed,1.00 EA,$837.70,$167.54,$0.00
12,Gloves or mittens - Men's,1.00 EA,$29.32,$5.86,$0.00
12,Gloves or mittens - Men's,1.00 EA,$0.00,$0.00,$0.00
12,"Cap, hat & visor",12.00 EA,$0.00,$0.00,$0.00
12,"Cap, hat & visor",12.00 EA,$251.3],$157.07,$0.00
12,"Cap, hat & visor",1.00 EA,$20.94,$18.32,$0.00
12,"Cap, hat & visor",1.00 EA,$0.00,$0.00,$0.00
12,Coweirl hat custom hand made,1.00 EA,$890.05,$556.28,$0.00
12,"cap,hat & visor",12.00 EA,$282.72,$176.70,$0.00
12,"Cap, hat & visor - High grade",10.00 EA,$523.56,$196.33,$0.00
12,Jacket/Coat/Rain coat - - Casual,5.00 EA,$157.07,$58.90,$0.00
12,coat - Ladies' - Casual,20.00 EA,$837.70,$167.54,$0.00
12,coat - Men's - Casual,"5,00 EA",$460.73,$201.57,$0.00
12,Jacket/Coat/Rain coat - Men's - Casual,1.00 EA,$92.15,$34.56,$0.00
12,Note: Slight variances may be found within report sections due to rounding,,,,
12,51S4K577),,,,
13,ww,,,,
13,,,Trade Summary,,
13,,Includes all applicable,"Tax, General Contractor O&P,",and Labor Minimums,
13,DESCRIPTION,,LINEITEM,REPL. COST,ACV
13,,,QTY,TOTAL,
13,CLH CLOTHING & ACCESSORIES,,,,
13,Jacket/Coat/Rain coat - Men's - Casual,,1.00 EA,$0.00,$0.00
13,mens jacket,,1.00 EA,$141.36,$28.27
13,Jacket / Coat - Ladies’ - Dress,,2.00 EA,$235.60,$58.90
13,Jacket / Coat - Men's - Dress,,1.00 EA,$173.82,$108.64
13,Jacket / Coat - Men's - Dress,,1.00 EA,$0.00,$0.00
13,Jacket / Coat - - Fauz Fur,,1.00 EA,$235.60,$88.34
13,Jacket Coat - - Fauz Fur,,1.00 EA,$130.89,$114.52
13,Jacket / Coat - - Fur,,"3,00 EA",$0.00,$0.00
13,Jacket / Coat - - Fur,,1.00 EA,$0.00,$0.00
13,Jacket / Coat - - Leather - High grade,,1.00 EA,$261.78,$98.17
13,Jacket / Coat - Men's - Leather,,1.00 EA,$188.48,$174.34
13,Jacket / Coat - Men's - Leather,,1.00 EA,$188.48,$37.70
13,Jacket / Coat - Men's - Leather,,1.00 EA,$0.00,$0.00
13,Jacket / Coat - Men's - Fur,,EA,"$1,770.68",$354.14
13,Jacket / Coat - Men's - Fur,,2.00 EA,$0.00,$0.00
13,Jacket / Coat - Men's - Fur,,1.00 EA,$0.00,$0.00
13,Jacket / Coat - Men's - Fur,,1.00 EA,$0.00,$0.00
13,Jacket / Coat - Men's - Snowboard,,1.00 EA,$141.36,$28.27
13,Snowboard / Ski pants -,,1.00 EA,$0.00,$0.00
13,Snowboard / Ski pants - Ladies’,,1.00 EA,$0.00,$0.00
13,Note: Slight variances may be found within report sections,due to rounding,,,
13,§154K577),,,,
14,,,Trade Summary,,
14,,Includes all applicable,"Tax, General Contractor O&P,",and Labor Minimums,
14,DESCRIPTION,,LINEITEM,"REPL, COST",ACV
14,,,QTY,TOTAL,
14,CLH CLOTHING & ACCESSORIES,,,,
14,Snowboard / Ski pants - Men's,,"1,00 EA",$136.13,$27.23
14,Snowboard / Ski pants - Men's,,2.00 EA,$0.00,$0.00
14,Pants - Ladies’ - Casual,,400EA,,$47.12
14,Pants - Ladies' - Dress,,7.00 EA,$307.85,$61.57
14,Ladieswear - cargo pants,,2.00 EA,$76.44,$64.97
14,Ladieswear - Ladies' jeans,,| 30.00 EA,"$2,198.95",$824.61
14,Ladiesweat Ladies' jeans,,15.00 EA,,$294.50
14,Ladieswear - Ladies' khakis / Chinos,,2.00 EA,$68.06,$60.23
14,Ladieswear - Ladies' leggings,,15.00 EA,$523.51,$458.08
14,Ladieswear - leggings,,20.00 EA,$523.56,$327.22
14,Ladieswear - Ladies’ capris,,2.00 EA,$62.83,$23.56
14,|,,,,
14,Ladieswear - Ladies' capris | |,,5.00 EA,$209.42,$130.89
14,Sweatpants - Ladies’,,"2,00 EA",$98.41,$61.5]
14,|,,,,
14,Sweatpants - Ladies,,10.00 EA,$209.42,$130.89
14,Pants - Men's - Casual,,6.00 EA,$0.00,$0.00
14,Pants - Men's - Casual,,"3,00 EA",$141.36,$88.34
14,|,,,,
14,Pants - Men's - Casual,,"1,00 EA",$47.12,$35.34
14,Pants - Men's - Casual,,1.00 EA,$0.00,$0.00
14,mens jeans Levis,|,"3,00 EA",$147.64,$92.27
14,pants- mens casual Dickies,,"6,00 EA",$188.48,$117.80
14,Note: Slight variances may be found within report sections,due to rounding,,,
14,5154K577),,,,
15,,,,Trade Summary,
15,,,Includes all applicable,"Tax, General Contractor O&P,",and Labor Minimums
15,DESCRIPTION,,,LINEITEM,— REPL. COST
15,,,,QTY,TOTAL
